  Node  | Successors
----------------------------------------------------------------------
      0 |	7: 97
      1 |	7: 56	8: 17	13: 33	18: 76
      2 |	0: 53	7: 56	9: 51	16: 59
      3 |	5: 87	8: 95	9: 15	10: 66
      4 |	1: 8	2: 40	7: 15	10: 58	12: 22	19: 18	20: 38
      5 |	0: 48	1: 85	12: 64	18: 64
      6 |	3: 34	12: 17	15: 46	20: 30
      7 |	0: 75	9: 42	11: 84
      8 |	18: 25	20: 58
      9 |	6: 60	14: 16	18: 47
     10 |
     11 |	8: 45	13: 41	16: 81
     12 |	4: 33	5: 76	9: 87	11: 18	16: 71	17: 34
     13 |	2: 84	4: 30	7: 83	17: 56	19: 54
     14 |	0: 83	1: 60	4: 92	18: 3	19: 29
     15 |	8: 25
     16 |	6: 89	11: 56	15: 94
     17 |	4: 69	5: 93	6: 2	9: 24	12: 38
     18 |	0: 9	15: 80
     19 |	4: 58	11: 74	14: 27	16: 9	17: 27	20: 53
     20 |	4: 78	14: 47	16: 91

Start vertex is: 5

		   Total
	Dest | Weight | Path
----------------------------------------------------------------------
	0	 |	48	  |	0
	1	 |	85	  |	1
	2	 |	137	  |	12	 4	 2
	3	 |	134	  |	12	 17	 6	 3
	4	 |	97	  |	12	 4
	5	 |	0	  |	
	6	 |	100	  |	12	 17	 6
	7	 |	112	  |	12	 4	 7
	8	 |	102	  |	1	 8
	9	 |	122	  |	12	 17	 9
	10	 |	155	  |	12	 4	 10
	11	 |	82	  |	12	 11
	12	 |	64	  |	12
	13	 |	118	  |	1	 13
	14	 |	138	  |	12	 17	 9	 14
	15	 |	144	  |	18	 15
	16	 |	124	  |	12	 4	 19	 16
	17	 |	98	  |	12	 17
	18	 |	64	  |	18
	19	 |	115	  |	12	 4	 19
	20	 |	130	  |	12	 17	 6	 20
