  Node  | Successors
----------------------------------------------------------------------
      0 |	1: 1	19: 37
      1 |	2: 48	3: 17	10: 3	16: 8
      2 |	0: 12	4: 84	5: 38	6: 46	7: 72	10: 42	12: 13	17: 95
      3 |	7: 16	10: 25	15: 79
      4 |	16: 30
      5 |	0: 93	1: 54	9: 37	10: 23	11: 73
      6 |	11: 69
      7 |	15: 87
      8 |	4: 18	5: 7	18: 54
      9 |	0: 89	3: 48	6: 10	16: 44
     10 |	3: 80	9: 38	14: 5
     11 |	3: 47	12: 32	19: 67
     12 |	2: 17	13: 53	15: 59	19: 83
     13 |	2: 41	10: 4	11: 24	12: 68
     14 |	1: 94	11: 21
     15 |	7: 17
     16 |	0: 14	1: 88	3: 95	12: 33
     17 |	3: 2	8: 91	9: 59	12: 58
     18 |	3: 14	5: 98	9: 48	16: 97
     19 |	3: 63	13: 42	18: 91

Start vertex is: 16

		   Total
	Dest | Weight | Path
----------------------------------------------------------------------
	0	 |	14	  |	0
	1	 |	15	  |	0	 1
	2	 |	50	  |	12	 2
	3	 |	32	  |	0	 1	 3
	4	 |	134	  |	12	 2	 4
	5	 |	88	  |	12	 2	 5
	6	 |	66	  |	0	 1	 10	 9	 6
	7	 |	48	  |	0	 1	 3	 7
	8	 |	236	  |	12	 2	 17	 8
	9	 |	56	  |	0	 1	 10	 9
	10	 |	18	  |	0	 1	 10
	11	 |	44	  |	0	 1	 10	 14	 11
	12	 |	33	  |	12
	13	 |	86	  |	12	 13
	14	 |	23	  |	0	 1	 10	 14
	15	 |	92	  |	12	 15
	16	 |	0	  |	
	17	 |	145	  |	12	 2	 17
	18	 |	142	  |	0	 19	 18
	19	 |	51	  |	0	 19
