  Node  | Successors
----------------------------------------------------------------------
      0 |	4: 37	6: 97	14: 61	17: 64
      1 |	0: 33	13: 67	19: 78
      2 |	6: 34	10: 89	11: 5	12: 12
      3 |	0: 74	2: 65
      4 |	13: 10	16: 64	19: 58
      5 |	0: 24	12: 55	13: 32	20: 21
      6 |	9: 69	13: 69	19: 29
      7 |	6: 76	10: 12	14: 39	20: 74
      8 |	12: 7	13: 67
      9 |	1: 71	2: 45	7: 46	13: 30	14: 13	19: 4	21: 35
     10 |	2: 72	11: 29	12: 28
     11 |	2: 58	7: 71	8: 12	18: 96
     12 |	3: 39	7: 25	15: 40
     13 |	0: 11	1: 51	3: 72	4: 19	6: 14	9: 64	15: 70	18: 66	21: 42
     14 |	0: 17	7: 72	15: 8
     15 |	11: 48	19: 24	20: 10
     16 |	2: 32	12: 68	14: 81	21: 13	22: 71
     17 |	3: 50	7: 56	11: 56	16: 98	20: 1
     18 |	3: 50	9: 25	12: 65	13: 76	20: 82
     19 |	2: 50	9: 86	18: 70
     20 |	10: 98	16: 91	18: 76	22: 7
     21 |	0: 9	3: 73	15: 49	17: 5	20: 71
     22 |	5: 22	8: 7	10: 19	16: 37	19: 87	20: 22	21: 12

Start vertex is: 5

		   Total
	Dest | Weight | Path
----------------------------------------------------------------------
	0	 |	24	  |	0
	1	 |	83	  |	13	 1
	2	 |	97	  |	20	 22	 16	 2
	3	 |	81	  |	20	 22	 8	 12	 3
	4	 |	51	  |	13	 4
	5	 |	0	  |	
	6	 |	46	  |	13	 6
	7	 |	67	  |	20	 22	 8	 12	 7
	8	 |	35	  |	20	 22	 8
	9	 |	96	  |	13	 9
	10	 |	47	  |	20	 22	 10
	11	 |	76	  |	20	 22	 10	 11
	12	 |	42	  |	20	 22	 8	 12
	13	 |	32	  |	13
	14	 |	85	  |	0	 14
	15	 |	82	  |	20	 22	 8	 12	 15
	16	 |	65	  |	20	 22	 16
	17	 |	45	  |	20	 22	 21	 17
	18	 |	97	  |	20	 18
	19	 |	75	  |	13	 6	 19
	20	 |	21	  |	20
	21	 |	40	  |	20	 22	 21
	22	 |	28	  |	20	 22
